group,COMID,DA_km2,D84_pred,HSI_mean,HSI_max,WUA_mean,HSI_cubic_root_mean,HSI_cubic_root_max,HSI_depth_contribution_mean,HSI_velocity_contribution_mean,HSI_substrate_contribution_mean,d.suit_mean,v.suit_mean,s.suit,GIFT_depth_mean_m,GIFT_velocity_mean_mps,bankfull_width_m,bankfull_depth_m,slope_m_per_m,summer_width_m,WUA_per_bankfull_width,WUA_per_summer_width
chinook_juvenile_rearing,23428426,3708.7911,144.96022797544734,0.1289297951289266,0.1844873596515279,2.581248490508462,0.4704717179425979,0.5692751221056727,-0.3271825994864274,-0.2516525714560574,-0.2922350339285886,0.4451972612934314,0.5459039653339248,0.5,0.3578210830815818,0.3391480110397853,37.62841929835769,0.6390267734341173,0.00157838,29.290556695673374,0.06859837693530542,0.08812562073597421
chinook_juvenile_rearing,23428428,3691.3212,183.6079698447986,0.1595660792398949,0.21762658433358,2.845292456134444,0.5134078466192709,0.6015023317975206,-0.3344592756336667,-0.3349821421484573,-0.170992502977981,0.4822810565466433,0.481665919470419,0.7,0.3850568067764607,0.4834109695936042,40.36615670823305,0.6385797347012364,0.00374236,32.13872134977796,0.07048707848756185,0.0885316010294262
chinook_juvenile_rearing,23428430,3684.5334,115.71263067603402,0.1298401692121991,0.2137932592847355,2.7734059994844515,0.4648664976890148,0.5979497234838149,-0.3427614881626902,-0.2360739399746416,-0.2913244026504689,0.4171410453530497,0.5593911096037811,0.5,0.3393704446891101,0.2438504464468536,35.04983427921378,0.6383954510152873,0.00069865,26.68527108334917,0.07912750677766295,0.10393021644119538
chinook_juvenile_rearing,23428432,76.0986,96.50156055372491,0.0241590388333341,0.0425674736803224,0.1814433274476231,0.2492779933564003,0.3491611849778179,-0.4791750961746024,-0.2743259050276688,-0.2223399599643944,0.1491555546884094,0.4222878095509876,0.5,0.1662834356560553,0.4898569751123559,8.36029006016962,0.35098164553009975,0.01104606,4.9956254409613665,0.021702994291078682,0.03632044267368168
chinook_juvenile_rearing,23428434,67.6701,101.4654449108424,0.0204543937128082,0.0361170151619596,0.1503622475524754,0.2371078278926743,0.3305500931101763,-0.4748696251278952,-0.2855596034343118,-0.2191163777249846,0.1475827977952356,0.399996160053347,0.5,0.1661834623800718,0.5307200323285685,8.205345837028617,0.35001275476817567,0.01393139,4.9364889360982565,0.018324912872523816,0.03045935066377764
chinook_juvenile_rearing,23428436,56.763,101.02030682432712,0.0193793991847365,0.0341087184569519,0.1353358833451455,0.232927127704849,0.3243061123407129,-0.4748005148371331,-0.2876737135258224,-0.2181463724523078,0.1453682354701666,0.3948706372185809,0.5,0.1652268547364403,0.540899483293368,7.747674493794856,0.34663546486575764,0.01463484,4.654481091256322,0.017467936146973725,0.029076470758336692
chinook_juvenile_rearing,23428438,51.2955,96.52633001338532,0.0212317563311986,0.037162954557377,0.142754880962674,0.2392842282995148,0.3337106586100954,-0.4778505786897127,-0.2811029431929415,-0.219814721786147,0.1452597277233046,0.4075899083856662,0.5,0.1649111873888553,0.5187808475697754,7.395671802867878,0.3449452650637458,0.01273913,4.421743429572188,0.019302489992500317,0.032284749949068346
chinook_juvenile_rearing,23428440,48.1365,101.4652732445838,0.0183714568487952,0.0324189593815094,0.1222297591083453,0.2288931448319424,0.3188597418061906,-0.4748004340852391,-0.2896018228371405,-0.2172262862288251,0.1431490628432944,0.390080544507426,0.5,0.1642352888948947,0.550472208570751,7.344462450447672,0.34318661380225307,0.01553054,4.4052265109841615,0.016642437745855033,0.02774653217117733
chinook_juvenile_rearing,23428442,43.1325,107.54540698875174,0.0150998148792171,0.027609836958771,0.0980158449725321,0.2151516896501775,0.3022418605425714,-0.4714359935681524,-0.2993332774582825,-0.2141309140943479,0.1398507107344066,0.3693209988808999,0.5,0.1629543767764831,0.5907974961992809,7.1916582455590135,0.33980561207124205,0.01983233,4.323203168248327,0.013629102166118469,0.02267204227004814
chinook_juvenile_rearing,23428444,27.5688,117.43805879271346,0.01033743088469,0.020196908550567,0.058939879838758,0.1898213320969962,0.2723296741086441,-0.468773580886442,-0.3117329445118714,-0.2091560437169964,0.1295676429495514,0.3389551581156456,0.5,0.158144258628789,0.6588966122399847,6.288505715083909,0.32583323336233766,0.03058554,3.754078799501551,0.009372636761286867,0.01570022447226834
